name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
Swing de Campo Grande                                                                                                                                                            ,0.764,0.697,-7.346,0.0525,0.781,0.0,0.163,0.937,104.016,189040,9
Máquina de Ritmo - Ao Vivo                                                                                                                                                       ,0.587,0.296,-16.507,0.224,0.879,0.598,0.391,0.509,172.675,351920,27
Back In Bahia (Ao Vivo)                                                                                                                                                          ,0.667,0.457,-13.166,0.295,0.712,4.55e-06,0.966,0.592,144.407,328956,28
Sabor Colorido / Moça Bonita                                                                                                                                                     ,0.517,0.226,-17.795,0.0581,0.808,4.66e-06,0.697,0.525,78.868,258400,28
O Namorado Da Viúva                                                                                                                                                              ,0.742,0.745,-13.106,0.0447,0.554,0.000275,0.0549,0.971,87.988,123173,4
Taj Mahal                                                                                                                                                                        ,0.587,0.703,-5.789,0.0556,0.556,0.0,0.596,0.725,136.704,186933,28
Manada                                                                                                                                                                           ,0.651,0.485,-11.49,0.04,0.116,0.697,0.0873,0.736,108.861,421814,20
Dolcenera                                                                                                                                                                        ,0.68,0.492,-8.359,0.0436,0.177,5.63e-05,0.201,0.595,125.827,297787,12
Nomes de Favela                                                                                                                                                                  ,0.753,0.516,-9.647,0.0662,0.372,0.0,0.0647,0.862,92.068,229080,19
Magalenha                                                                                                                                                                        ,0.82,0.633,-13.816,0.0745,0.129,0.0,0.0972,0.716,116.622,216933,19
Deixa A Gira Girar                                                                                                                                                               ,0.512,0.602,-10.217,0.0374,0.621,0.000172,0.0742,0.563,112.901,191560,23
Senhora liberdade                                                                                                                                                                ,0.592,0.531,-10.947,0.0355,0.445,0.0,0.0922,0.589,92.107,208827,12
Berekerê - Voice                                                                                                                                                                 ,0.434,0.573,-11.203,0.0666,0.83,0.0,0.0584,0.786,172.189,316600,9
Catendé - Live                                                                                                                                                                  ,0.45,0.328,-14.338,0.0473,0.466,8.24e-06,0.0754,0.209,139.385,302320,23
Coração Imprudente                                                                                                                                                               ,0.711,0.427,-11.163,0.106,0.873,0.00159,0.0972,0.963,93.607,125867,9
Dimokránsa                                                                                                                                                                       ,0.686,0.33,-10.174,0.0463,0.863,1.14e-05,0.13,0.742,154.407,266133,29
Kenha Ki Ben Ki Ta Bai - Live                                                                                                                                                    ,0.566,0.482,-11.898,0.0623,0.452,0.000204,0.69,0.626,132.34,329960,28
Baião Destemperado                                                                                                                                                               ,0.86,0.741,-8.305,0.158,0.425,0.63,0.216,0.744,95.715,163893,20
Adeus Até Mais Ver                                                                                                                                                               ,0.544,0.239,-15.386,0.029,0.874,0.00451,0.111,0.269,83.87,275723,3
Baianá                                                                                                                                                                           ,0.777,0.573,-12.078,0.335,0.47,0.0138,0.177,0.622,95.087,279680,4
Meu Esquema                                                                                                                                                                      ,0.744,0.47,-12.061,0.0414,0.878,0.0747,0.0982,0.657,138.058,259480,29
Oração                                                                                                                                                                           ,0.425,0.474,-7.806,0.0314,0.613,2.44e-06,0.228,0.379,128.631,301347,23
Trem Das Onze                                                                                                                                                                    ,0.675,0.449,-14.164,0.0613,0.541,0.00337,0.069,0.803,91.773,184000,9
O Leaozinho                                                                                                                                                                      ,0.597,0.121,-18.834,0.0558,0.829,2.06e-06,0.252,0.571,127.076,184333,29
Sonho Meu                                                                                                                                                                        ,0.597,0.444,-8.805,0.0408,0.638,4.92e-06,0.123,0.444,148.065,228707,23
Samba De Verao                                                                                                                                                                   ,0.731,0.299,-17.199,0.0485,0.889,0.223,0.11,0.46,119.768,187627,29
Sonhos                                                                                                                                                                           ,0.626,0.0914,-20.211,0.0856,0.826,0.000131,0.113,0.471,121.171,180453,3
Shimbalaiê - Live                                                                                                                                                                ,0.567,0.179,-14.674,0.0317,0.819,1.47e-05,0.901,0.39,78.577,201387,28
Sampa - Live                                                                                                                                                                     ,0.682,0.197,-13.192,0.12,0.814,0.0,0.697,0.322,113.807,204640,28
Nega Maluca / Billie Jean / Eleanor Rigby                                                                                                                                        ,0.807,0.203,-13.026,0.0449,0.888,4.86e-05,0.138,0.487,113.055,235707,29
Get Out Of Town                                                                                                                                                                  ,0.724,0.193,-13.268,0.0465,0.928,0.00154,0.121,0.198,108.581,235293,3
Coração Vagabundo                                                                                                                                                                ,0.557,0.134,-19.355,0.0504,0.967,0.28,0.111,0.205,126.497,202400,3
Life On Mars - 1999 Remaster                                                                                                                                                     ,0.443,0.605,-7.829,0.0365,0.503,5.96e-06,0.174,0.37,122.648,223413,23
Rebel Rebel                                                                                                                                                                      ,0.712,0.266,-14.056,0.0582,0.905,0.0,0.223,0.316,125.307,144187,3
Alegria                                                                                                                                                                          ,0.715,0.691,-8.953,0.0869,0.00331,0.218,0.132,0.747,136.015,215480,5
Pobre e Rico                                                                                                                                                                     ,0.777,0.892,-6.851,0.094,0.0088,0.564,0.3,0.72,128.957,267612,20
Tirei o Chapéu                                                                                                                                                                   ,0.725,0.927,-7.336,0.0795,0.000544,0.0,0.0432,0.823,135.062,213427,5
"Canta Canta, Minha Gente                                                                                                                                                       ",0.735,0.783,-11.895,0.345,0.327,0.0,0.19,0.829,94.488,153440,4
